13
0,2.45289e-08,1.02138e-07,8.77773e-09,1.06667e-08,5.78889e-08,9.33333e-09,1.26667e-07,1.26667e-07,6.66667e-08,2e-08,6.66667e-08,2e-08
Inf,-95.3408,-107.731,-86.4149,-88.1078,-102.799,-86.948,-109.6,-109.6,-104.025,-93.5678,-104.025,-93.5678
NaN,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159,6.28319,6.28319,6.28319,6.28319,6.28319,6.28319
NaN,90,90,90,180,90,0,90,90,90,180,90,0
0,270,90,180,0,0,0,270,90,180,0,0,0
NaN,90,90,90,180,90,0,90,90,90,0,90,180
0,270,90,180,0,0,0,90,270,0,0,180,0
13
0,2.45956e-08,1.02071e-07,8.77106e-09,1.06667e-08,5.78956e-08,9.33333e-09,1.26667e-07,1.26667e-07,6.66667e-08,2e-08,6.66667e-08,2e-08
Inf,-95.3644,-107.725,-86.4083,-88.1078,-102.8,-86.948,-109.6,-109.6,-104.025,-93.5678,-104.025,-93.5678
NaN,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159,6.28319,6.28319,6.28319,6.28319,6.28319,6.28319
NaN,90,90,90,180,90,0,90,90,90,180,90,0
0,270,90,180,0,0,0,270,90,180,0,0,0
NaN,90,90,90,180,90,0,90,90,90,0,90,180
0,270,90,180,0,0,0,90,270,0,0,180,0
13
0,2.46622e-08,1.02004e-07,8.7644e-09,1.06667e-08,5.79023e-08,9.33333e-09,1.26667e-07,1.26667e-07,6.66667e-08,2e-08,6.66667e-08,2e-08
Inf,-95.3879,-107.72,-86.4017,-88.1078,-102.801,-86.948,-109.6,-109.6,-104.025,-93.5678,-104.025,-93.5678
NaN,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159,6.28319,6.28319,6.28319,6.28319,6.28319,6.28319
NaN,90,90,90,180,90,0,90,90,90,180,90,0
0,270,90,180,0,0,0,270,90,180,0,0,0
NaN,90,90,90,180,90,0,90,90,90,0,90,180
0,270,90,180,0,0,0,90,270,0,0,180,0
13
0,2.45956e-08,1.02071e-07,8.75773e-09,1.06667e-08,5.79089e-08,9.33333e-09,1.26667e-07,1.26667e-07,6.66667e-08,2e-08,6.66667e-08,2e-08
Inf,-95.3644,-107.725,-86.3951,-88.1078,-102.802,-86.948,-109.6,-109.6,-104.025,-93.5678,-104.025,-93.5678
NaN,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159,6.28319,6.28319,6.28319,6.28319,6.28319,6.28319
NaN,90,90,90,180,90,0,90,90,90,180,90,0
0,270,90,180,0,0,0,270,90,180,0,0,0
NaN,90,90,90,180,90,0,90,90,90,0,90,180
0,270,90,180,0,0,0,90,270,0,0,180,0
